Country|City|Code|Name
UNITED STATES|WAINWRIGHT|AIN|WAINWRIGHT AIRPORT
BRAZIL|ARIPUANA|AIR|ARIPUANA AIRPORT
KIRIBATI|ARORAE|AIS|ARORAE ISLAND AIRPORT
COOK ISLANDS|AITUTAKI|AIT|AITUTAKI AIRPORT
COOK ISLANDS|ATIU ISLAND|AIU|ENUA AIRPORT
UNITED STATES|KAISER LAKE OZARK|AIZ|LEE C FINE MEMORIAL AIRPORT
FRANCE|AJACCIO|AJA|AJACCIO-NAPOLEON BONAPARTE AIRPORT
SAUDI ARABIA|AL-JAWF|AJF|AL-JAWF DOMESTIC AIRPORT
TURKEY|AGRI|AJI|AGRI AIRPORT
INDIA|AIZWAL|AJL|LENGPUI AIRPORT
COMOROS|ANJOUAN|AJN|OUANI AIRPORT
SWEDEN|ARVIDSJAUR|AJR|ARVIDSJAUR AIRPORT
BRAZIL|ARACAJU|AJU|SANTA MARIA AIRPORT
NIGER|AGADEZ|AJY|MANO DAYAK INTERNATIONAL AIRPORT
CHINA|ANKANG|AKA|ANKANG WULIPU AIRPORT
UNITED STATES|ATKA|AKB|ATKA AIRPORT
UNITED STATES|AKRON|AKC|AKRON FULTON INTERNATIONAL AIRPORT
INDIA|AKOLA|AKD|AKOLA AIRPORT
LIBYA|KUFRA|AKF|KUFRA AIRPORT
UNITED STATES|AKIAK|AKI|AKIAK AIRPORT
JAPAN|ASAHIKAWA|AKJ|ASAHIKAWA AIRPORT
UNITED STATES|AKHIOK|AKK|AKHIOK AIRPORT
NEW ZEALAND|AUCKLAND|AKL|AUCKLAND INTERNATIONAL AIRPORT
UNITED STATES|KING SALMON|AKN|KING SALMON AIRPORT
UNITED STATES|AKRON|AKO|COLORADO PLAINS REGIONAL AIRPORT
UNITED STATES|ANAKTUVUK PASS|AKP|ANAKTUVUK PASS AIRPORT
NIGERIA|AKURE|AKR|AKURE AIRPORT
SOLOMON ISLANDS|AUKI|AKS|AUKI AIRPORT
CYPRUS|AKROTIRI|AKT|RAF AKROTIRI
CHINA|AKSU|AKU|AKSU AIRPORT
CANADA|AKULIVIK|AKV|AKULIVIK AIRPORT
KAZAKHSTAN|AKTYUBINSK|AKX|AKTOBE AIRPORT
BURMA|SITTWE|AKY|SITTWE AIRPORT
KAZAKHSTAN|ALMA-ATA|ALA|ALMATY AIRPORT
UNITED STATES|ALBANY|ALB|ALBANY INTERNATIONAL AIRPORT
SPAIN|ALICANTE|ALC|ALICANTE INTERNATIONAL AIRPORT
NORWAY|ALTA|ALF|ALTA AIRPORT
ALGERIA|ALGIER|ALG|HOUARI BOUMEDIENE AIRPORT
AUSTRALIA|ALBANY|ALH|ALBANY AIRPORT
UNITED STATES|ALICE|ALI|ALICE INTERNATIONAL AIRPORT
SOUTH AFRICA|ALEXANDER BAY|ALJ|ALEXANDER BAY AIRPORT
ITALY|ALBENGA|ALL|VILLANOVA D'ALBENGA INTERNATIONAL AIRPORT
UNITED STATES|ALAMOGORDO|ALM|ALAMOGORDO WHITE SANDS REGIONAL AIRPORT
UNITED STATES|ALTON ST LOUIS|ALN|ST LOUIS REGIONAL AIRPORT
UNITED STATES|WATERLOO|ALO|WATERLOO REGIONAL AIRPORT
SYRIA|ALEPPO|ALP|ALEPPO INTERNATIONAL AIRPORT
NEW ZEALAND|ALEXANDRA|ALR|ALEXANDRA AIRPORT
UNITED STATES|ALAMOSA|ALS|SAN LUIS VALLEY REGIONAL BERGMAN FIELD
SOMALIA|ALULA|ALU|ALULA AIRPORT
UNITED STATES|WALLA WALLA|ALW|WALLA WALLA REGIONAL AIRPORT
UNITED STATES|ALEXANDER CITY|ALX|THOMAS C RUSSELL FIELD
EGYPT|ALEXANDRIA|ALY|EL NOUZHA AIRPORT
UNITED STATES|AMARILLO|AMA|RICK HUSBAND AMARILLO INTERNATIONAL AIRPORT
MADAGASCAR|AMBILOBE|AMB|AMBILOBE AIRPORT
CHAD|AM TIMAN|AMC|AM TIMAN AIRPORT
INDIA|AHMEDABAD|AMD|SARDAR VALLABHBHAI PATEL INTERNATIONAL AIRPORT
ETHIOPIA|ARBA MINCH|AMH|ARBA MINCH AIRPORT
INDONESIA|MATARAM|AMI|SELAPARANG AIRPORT
JORDAN|AMMAN|AMM|QUEEN ALIA INTERNATIONAL AIRPORT
